,Entering passengers,,,,,,,,,Leaving passengers,,,,,,,
Departure,AZU,Heidelberglaan,Padualaan,De Kromme Rijn,Stadion Galgenwaard,Rubenslaan,Sterrenwijk,Bleekstraat,CS Centrumzijde,AZU,Heidelberglaan,Padualaan,De Kromme Rijn,Stadion Galgenwaard,Rubenslaan,Sterrenwijk,Bleekstraat
6:00,1,2,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0
6:30,1,4,0,1,2,3,1,2,0,0,0,0,0,1,1,0,1
6:45,1,4,0,1,2,4,2,1,0,0,0,0,0,1,1,0,1
7:00,2,4,1,2,1,2,1,3,0,0,0,0,1,1,1,1,0
7:15,5,9,2,2,1,6,2,3,0,0,0,1,2,2,1,0,2
7:30,11,12,2,3,4,12,4,4,0,0,0,1,3,3,2,1,4
7:45,18,12,2,3,3,13,5,8,0,0,0,1,3,3,3,2,10
8:00,12,10,2,2,4,8,3,7,0,0,0,1,2,3,2,1,7
8:15,27,13,3,2,5,9,4,8,0,0,1,3,7,5,2,2,7
8:30,19,13,3,3,5,9,4,6,0,0,1,2,7,2,3,2,4
8:45,24,10,3,1,2,6,2,2,0,0,1,3,6,2,3,1,4
9:00,13,8,2,2,2,6,2,5,0,0,0,4,6,2,1,1,3
9:15,10,8,2,2,2,5,2,3,0,0,1,1,1,2,2,1,2
9:30,13,9,3,1,2,5,2,3,0,0,1,1,2,1,1,1,3
9:45,13,16,6,3,3,6,2,4,0,0,1,2,4,2,2,1,6
10:00,6,14,7,2,3,7,2,4,0,0,0,0,1,1,1,1,3
10:15,13,15,18,2,3,7,2,2,0,0,1,1,10,2,1,1,4
10:30,32,50,40,6,5,10,2,8,0,0,1,3,10,4,2,2,5
10:45,18,103,27,22,4,6,2,5,0,0,1,1,5,4,3,3,8
11:00,14,54,23,14,5,8,2,6,0,0,1,1,3,3,2,2,4
11:15,9,34,28,9,4,11,2,9,0,0,1,1,1,2,2,2,4
11:30,16,32,23,4,5,8,3,21,0,0,1,2,3,2,1,2,4
11:45,25,70,32,5,7,14,2,12,0,0,1,2,2,4,2,3,7
12:00,21,65,41,5,8,14,2,16,0,0,1,1,1,4,3,3,6
12:15,19,73,75,7,9,20,3,21,0,0,1,1,3,5,4,3,8
12:30,26,101,64,10,6,13,2,16,0,0,1,2,5,7,3,3,8
12:45,32,215,76,25,7,11,2,14,0,0,1,1,6,8,6,6,19
13:00,24,100,67,21,9,13,3,19,0,0,1,1,2,6,4,4,11
13:15,18,61,58,8,7,15,2,14,0,0,1,1,2,4,2,2,6
13:30,19,51,54,4,6,14,2,18,0,0,1,1,2,4,2,2,7
13:45,16,76,48,5,8,13,2,25,0,0,1,1,2,5,3,3,8
14:00,29,109,84,7,9,21,2,32,0,0,1,2,3,7,4,4,11
14:15,26,58,70,5,6,16,2,17,0,0,1,1,4,5,3,2,8
14:30,40,140,96,7,10,14,2,35,0,0,1,1,7,8,4,4,13
14:45,39,149,58,10,12,15,2,19,0,0,1,1,5,5,4,3,14
15:00,77,218,106,28,17,17,2,13,0,0,1,1,4,10,6,6,24
15:15,55,97,99,19,18,16,1,21,0,0,1,1,2,5,4,3,16
15:30,55,119,104,11,25,21,2,28,0,0,1,1,2,5,6,4,15
15:45,45,122,75,10,18,15,1,13,0,0,1,1,2,4,4,3,15
16:00,64,105,78,14,21,11,1,18,0,0,1,1,2,5,4,4,17
16:15,99,127,106,13,26,23,2,23,0,0,1,1,2,7,6,4,23
16:30,87,117,85,10,19,17,2,16,0,0,1,1,2,5,4,3,18
16:45,130,224,114,14,24,15,3,17,0,0,1,1,3,9,6,5,25
17:00,99,193,87,16,16,9,2,8,0,0,1,1,2,5,6,4,19
17:15,107,129,114,17,28,16,2,10,0,0,1,1,3,6,7,4,19
17:30,44,88,55,5,15,12,2,5,0,0,1,2,2,4,3,4,11
17:45,37,66,43,4,11,9,2,5,0,0,1,1,1,3,3,3,8
18:00,24,56,34,4,12,11,2,3,0,0,1,1,1,2,3,2,8
18:15,21,69,40,4,11,14,2,3,0,0,1,1,2,4,4,4,9
18:45,14,58,38,6,8,11,1,2,0,0,1,1,2,2,4,3,8
19:00,5,52,15,3,3,5,1,1,0,0,1,0,1,2,2,2,6
19:15,4,26,15,4,4,4,1,1,0,0,0,0,1,1,2,2,4
19:30,5,18,19,2,3,5,1,1,0,0,0,1,1,1,2,1,3
19:45,5,17,14,2,6,9,2,1,0,0,0,1,1,2,2,1,3
20:00,5,14,19,2,3,4,1,1,0,0,0,1,1,1,1,1,4
20:15,5,13,13,2,4,8,1,1,0,0,1,0,1,1,2,1,2
20:30,3,10,11,1,2,3,1,1,0,0,0,0,1,1,2,1,2
20:45,4,10,5,1,2,7,2,1,0,0,0,1,1,1,1,1,2
21:00,3,10,11,1,2,4,1,1,0,0,1,1,1,1,1,1,2
21:15,2,6,9,2,3,6,1,1,0,0,0,0,1,1,1,1,1
21:30,1,5,6,1,1,2,1,1,0,0,0,0,1,1,1,1,1
18:30,7,28,20,2,3,4,1,2,0,0,1,1,1,2,3,1,3
