,shape,rate,scale,Alpha * Beta,AVG,Variance
Graadt.van.Roggenweg,24.50722999,0.349282037,2.863015824,70.16458727,70.16203336,290.6457071
X24.Oktoberplein,125.6105526,0.99974335,1.000256716,125.6427989,125.6425735,141.5195854
X5.Meiplein,130.2010987,2.636639103,0.379270716,49.3814639,49.38125496,17.53057793
Vasco.da.Gamalaan,124.8289344,1.430540307,0.699036577,87.25999106,87.26052423,58.40710727
Kanaleneiland.Zuid,123.8312527,1.53408476,0.651854465,80.71995491,80.71882446,61.84468933
P.R.Westraven,39.25542607,0.461920446,2.164874945,84.98308837,84.98173153,328.1704367
Zuilenstein,35.90483846,0.250855414,3.986360041,143.1296133,143.1302621,440.1943106
Batau.Noord,13.62741044,0.15283977,6.542799676,89.16141663,89.15965052,392.4534633
Wijkersloot,129.8846612,2.289820904,0.436715377,56.72262881,56.72200159,26.33415453
Stadscentrum,16.05160159,0.148368703,6.739965911,108.1872475,108.1898332,1100.630365
Merwestein,80.99078193,1.072964721,0.931997093,75.48317328,75.48292295,88.72468852
Fokkesteeg,174.1012443,2.363501667,0.423101034,73.66241657,73.66163622,30.92760685
Wiersdijk,197.7618153,3.107087619,0.321844802,63.64861233,63.64813344,21.51638055
Nieuwegein.Zuid,12.17257234,0.137329287,7.281767962,88.6378473,88.64416203,614.400782
